Date (MM/DD/YYYY),delay_class,Arrival Time,EWR,IAD,ORD,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,wind_spd,temp,wind_dir,weather,precip,pres,vis,clouds,dewpt,rh,wind_gust_spd
2022-01-01 23:10:00,severely late,23:10,0,1,0,0,1,0,0,0,0,6.7,-3.6666666666666665,33.333333333333336,600.6666666666666,1.3333333333333333,979.4333333333334,3.0,100.0,-5.6000000000000005,86.33333333333333,9.666666666666666
2023-01-01 14:58:00,on-time,14:58,0,0,0,0,0,1,0,0,0,4.433333333333333,8.5,243.33333333333334,804.0,0.0,983.9333333333334,6.333333333333333,100.0,7.133333333333333,91.0,4.933333333333333
2023-01-01 23:14:00,on-time,23:14,1,0,0,0,0,1,0,0,0,1.8666666666666665,6.099999999999999,228.33333333333334,748.0,0.0,987.2333333333332,2.6666666666666665,75.0,5.1000000000000005,93.33333333333333,1.9666666666666668
2023-01-01 23:57:00,on-time,23:57,0,0,1,0,0,1,0,0,0,1.8666666666666665,6.099999999999999,228.33333333333334,748.0,0.0,987.2333333333332,2.6666666666666665,75.0,5.1000000000000005,93.33333333333333,1.9666666666666668
2022-01-02 23:10:00,late,23:10,0,1,0,0,0,0,0,1,0,1.7,-9.433333333333334,276.6666666666667,803.6666666666666,0.0,994.25,16.0,83.33333333333333,-12.166666666666666,80.33333333333333,1.7999999999999998
2023-01-02 15:01:00,severely late,15:01,0,0,0,0,0,0,0,0,1,1.7,8.9,83.33333333333333,804.0,0.0,986.8000000000001,11.333333333333334,100.0,6.866666666666667,87.0,1.8
2023-01-02 23:12:00,late,23:12,0,1,0,0,0,0,0,0,1,3.4333333333333336,7.8,103.33333333333333,721.0,0.0,983.3000000000001,1.6666666666666667,100.0,7.099999999999999,95.0,3.733333333333333
2023-01-02 21:07:00,early,21:07,0,0,1,0,0,0,0,0,1,2.9333333333333336,7.6000000000000005,100.0,721.0,0.0,985.1666666666666,1.6666666666666667,100.0,6.766666666666666,94.33333333333333,3.133333333333333
2022-01-03 23:10:00,late,23:10,0,1,0,0,0,0,0,1,0,3.3666666666666667,-6.866666666666667,218.33333333333334,800.0,0.0,995.75,16.0,0.0,-10.466666666666667,75.33333333333333,3.6333333333333333
2023-01-03 14:58:00,on-time,14:58,0,0,0,0,0,0,0,0,1,1.9000000000000001,13.333333333333334,150.0,804.0,0.0,972.8333333333334,8.666666666666666,100.0,12.4,94.0,4.333333333333333
2023-01-03 21:07:00,on-time,21:07,0,0,1,0,0,0,0,0,1,4.766666666666667,15.0,193.33333333333334,804.0,0.0,973.8000000000001,15.333333333333334,100.0,13.666666666666666,91.66666666666667,6.0
2022-01-04 23:44:00,severely late,23:44,0,1,0,0,0,0,0,0,0,8.166666666666666,1.866666666666667,195.0,800.0,0.0,974.5666666666666,16.0,0.0,-4.566666666666666,62.333333333333336,11.333333333333334
2023-01-04 14:59:00,early,14:59,0,0,0,0,1,0,0,0,0,6.0,7.233333333333333,240.0,803.6666666666666,0.0,975.5666666666666,16.0,83.33333333333333,0.5,62.333333333333336,8.9
2023-01-04 21:17:00,late,21:17,0,0,1,0,1,0,0,0,0,5.3,2.4,230.0,804.0,0.0,980.9666666666666,16.0,100.0,-0.9333333333333332,78.66666666666667,6.433333333333334
2022-01-05 23:44:00,early,23:44,0,1,0,0,0,1,0,0,0,8.6,-11.699999999999998,243.33333333333334,804.0,0.0,983.5333333333333,16.0,100.0,-15.699999999999998,72.0,13.666666666666666
2023-01-05 14:59:00,on-time,14:59,0,0,0,1,0,0,0,0,0,5.133333333333334,2.6,233.33333333333334,736.0,0.08333333333333333,980.5333333333333,12.333333333333334,100.0,-0.3333333333333333,81.0,7.5
2023-01-05 21:17:00,on-time,21:17,0,0,1,1,0,0,0,0,0,4.433333333333333,0.19999999999999998,260.0,600.0,0.5833333333333334,983.9,14.666666666666666,100.0,-2.466666666666667,82.33333333333333,5.533333333333334
2022-01-06 23:44:00,on-time,23:44,0,1,0,0,0,0,0,0,1,7.266666666666666,-11.766666666666666,243.33333333333334,804.0,0.0,987.0666666666666,12.0,100.0,-15.200000000000001,75.66666666666667,8.633333333333335
2023-01-06 14:59:00,on-time,14:59,0,0,0,0,0,0,1,0,0,5.166666666666667,0.7666666666666667,260.0,804.0,0.0,990.1,15.333333333333334,100.0,-1.7666666666666666,83.33333333333333,5.833333333333333
2023-01-06 21:17:00,on-time,21:17,0,0,1,0,0,0,1,0,0,3.4333333333333336,-1.3,236.66666666666666,804.0,0.0,993.2000000000002,16.0,100.0,-5.066666666666666,75.33333333333333,3.6999999999999997
2022-01-07 23:44:00,late,23:44,0,1,0,0,0,0,0,0,0,2.0,-13.166666666666666,148.33333333333334,800.0,0.0,998.3000000000001,13.666666666666666,0.0,-16.2,77.66666666666667,2.1
2023-01-07 14:59:00,on-time,14:59,0,0,0,0,1,0,0,0,0,2.9,1.1,203.33333333333334,804.0,0.0,996.8333333333334,16.0,100.0,-3.0,74.0,3.1333333333333333
2023-01-07 21:17:00,severely late,21:17,0,0,1,0,1,0,0,0,0,1.5333333333333332,0.19999999999999998,93.33333333333333,804.0,0.0,998.5,16.0,100.0,-4.2,72.33333333333333,1.6333333333333335
2022-01-08 23:44:00,on-time,23:44,0,1,0,1,0,0,0,0,0,5.3,0.7666666666666666,196.66666666666666,739.3333333333334,0.16666666666666666,985.6999999999999,3.6666666666666665,100.0,-0.7000000000000001,90.0,6.033333333333334
